🔧 Running setup: setup.sh
Using source file: /Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/Main.java
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'CzPbN.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'PsB1W.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'w8jEm.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'MWRwo.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'dIOWP.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'l3mXh.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'emfTO.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'KRoCx.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 16\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'UToHr.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 16\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'bJ8hi.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 20\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'Gq5Or.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 20\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'U38bg.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 19\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'yxUWn.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 18\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'sKxgL.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 21\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'Np1WQ.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 21\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'XKa6z.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 21\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'GDQMf.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 19\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '9P3DO.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 18\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'zXTam.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 18\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '90RjV.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 18\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'o3xXw.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 18\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'X0k6u.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'DBjwm.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'XO3zg.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'uGIUv.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 2 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
